title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Someone,Kalle B,spotify:track:6tViQ7H2mXqzwCfulk7IJh,0.567,0.656,2,-6.011,0,0.0568,0.0259,0.0,0.364,0.419,128.119,audio_features,6tViQ7H2mXqzwCfulk7IJh,https://api.spotify.com/v1/tracks/6tViQ7H2mXqzwCfulk7IJh,https://api.spotify.com/v1/audio-analysis/6tViQ7H2mXqzwCfulk7IJh,264896,4
Son Of My Father,Chicory Tip,spotify:track:3Jwalo4hQy4AHqtnyGUoMk,0.62,0.47,5,-10.478,1,0.0309,0.0698,0.00592,0.112,0.387,129.758,audio_features,3Jwalo4hQy4AHqtnyGUoMk,https://api.spotify.com/v1/tracks/3Jwalo4hQy4AHqtnyGUoMk,https://api.spotify.com/v1/audio-analysis/3Jwalo4hQy4AHqtnyGUoMk,187677,4
Stay with Me,Faces,spotify:track:7fLTytvnvxy653VWxflTRf,0.458,0.869,9,-8.381,1,0.032,0.0969,0.0596,0.357,0.813,91.39,audio_features,7fLTytvnvxy653VWxflTRf,https://api.spotify.com/v1/tracks/7fLTytvnvxy653VWxflTRf,https://api.spotify.com/v1/audio-analysis/7fLTytvnvxy653VWxflTRf,279360,4
Sugar Me,Lynsey De Paul,spotify:track:3YyRYbYOpR3LrPUL1B41Mx,0.556,0.605,6,-9.811,0,0.0852,0.14,0.000309,0.346,0.606,92.253,audio_features,3YyRYbYOpR3LrPUL1B41Mx,https://api.spotify.com/v1/tracks/3YyRYbYOpR3LrPUL1B41Mx,https://api.spotify.com/v1/audio-analysis/3YyRYbYOpR3LrPUL1B41Mx,220133,4
Swimming Into Deep Water,Don Rosenbaum,spotify:track:0Kf9ZQMY6qdKVguEvGloZR,0.665,0.789,11,-9.604,1,0.0371,0.534,0.0,0.232,0.929,104.03,audio_features,0Kf9ZQMY6qdKVguEvGloZR,https://api.spotify.com/v1/tracks/0Kf9ZQMY6qdKVguEvGloZR,https://api.spotify.com/v1/audio-analysis/0Kf9ZQMY6qdKVguEvGloZR,207667,4
The Baby - 2003 Remaster,The Hollies,spotify:track:0Bia0sAMQC413FBqumWkzz,0.572,0.613,6,-10.138,0,0.0319,0.0282,2.1e-06,0.481,0.481,118.68,audio_features,0Bia0sAMQC413FBqumWkzz,https://api.spotify.com/v1/tracks/0Bia0sAMQC413FBqumWkzz,https://api.spotify.com/v1/audio-analysis/0Bia0sAMQC413FBqumWkzz,233693,4
The Candy Man,Sammy Davis Jr.,spotify:track:5yjuIx3UvOKHwLsCuM3DMM,0.633,0.615,0,-7.775,1,0.0371,0.705,0.0,0.366,0.831,132.366,audio_features,5yjuIx3UvOKHwLsCuM3DMM,https://api.spotify.com/v1/tracks/5yjuIx3UvOKHwLsCuM3DMM,https://api.spotify.com/v1/audio-analysis/5yjuIx3UvOKHwLsCuM3DMM,189387,4
To Make My Life Beautiful,Roland Van Beeck,spotify:track:68FtmdiVMYx2rNnOHCJjzg,0.567,0.499,7,-7.942,0,0.0257,0.52,0.0,0.121,0.27,105.911,audio_features,68FtmdiVMYx2rNnOHCJjzg,https://api.spotify.com/v1/tracks/68FtmdiVMYx2rNnOHCJjzg,https://api.spotify.com/v1/audio-analysis/68FtmdiVMYx2rNnOHCJjzg,201576,4
Tumbling Dice,The Rolling Stones,spotify:track:4hq0S6wznq7SHDyMOFXL9i,0.615,0.91,11,-4.248,1,0.0347,0.5,0.511,0.281,0.77,111.013,audio_features,4hq0S6wznq7SHDyMOFXL9i,https://api.spotify.com/v1/tracks/4hq0S6wznq7SHDyMOFXL9i,https://api.spotify.com/v1/audio-analysis/4hq0S6wznq7SHDyMOFXL9i,226333,4
Un Canto a Galicia,Julio Iglesias,spotify:track:450Z9RcROaXZOnhrgGOInV,0.569,0.671,6,-4.279,1,0.0335,0.736,3.49e-06,0.166,0.739,113.471,audio_features,450Z9RcROaXZOnhrgGOInV,https://api.spotify.com/v1/tracks/450Z9RcROaXZOnhrgGOInV,https://api.spotify.com/v1/audio-analysis/450Z9RcROaXZOnhrgGOInV,255280,4
